0	1	date	formato
-94.5721117	17.9919693	2007-12-13	TIENDA COPPEL
-94.9195125	17.9542411	2007-11-29	TIENDA COPPEL
-103.7362901	19.2476272	2007-04-26	TIENDA COPPEL
-97.5046964	25.8350164	2007-11-01	TIENDA COPPEL
-106.8789198	28.3993422	2007-08-09	TIENDA COPPEL
-99.9004167	20.5222735	2007-08-09	TIENDA COPPEL
-100.9375371	21.1552374	2008-06-05	TIENDA COPPEL
-96.7492434	17.0954309	2007-12-13	TIENDA COPPEL
-98.2117284	18.9950082	2007-08-23	TIENDA COPPEL
-98.1998122	19.3127069	2007-12-13	TIENDA COPPEL
-99.7664991	19.5655586	2007-12-13	TIENDA COPPEL
-99.1042008	19.7980034	2008-06-05	TIENDA COPPEL
-108.1582215	25.3632177	2007-07-05	TIENDA COPPEL
-108.0777229	25.4605699	2007-07-05	TIENDA COPPEL
-107.3828274	24.7651497	2007-11-08	TIENDA COPPEL
-108.9979508	25.7933556	2007-10-04	TIENDA COPPEL
-114.7679204	32.447317	2007-11-29	TIENDA COPPEL
-97.5041613	25.850467	2007-11-01	TIENDA COPPEL
-103.3939019	20.7237312	2007-11-29	TIENDA COPPEL
-102.2702988	21.931666	2007-11-22	TIENDA COPPEL
-86.8597327	21.1359329	2008-10-02	TIENDA COPPEL
-98.19508	19.07056	2007-11-29	TIENDA COPPEL
-95.2268307	18.4517008	2007-11-29	TIENDA COPPEL
-98.7833203	20.0561851	2007-12-13	TIENDA COPPEL
-98.9802191	19.8368347	2007-09-13	TIENDA COPPEL
-99.1907089	20.2396373	2007-12-13	TIENDA COPPEL
-99.9322789	16.8674405	2007-10-18	TIENDA COPPEL
-99.0458447	19.5988278	2008-03-06	TIENDA COPPEL
-100.8452062	20.5485884	2007-08-23	TIENDA COPPEL
-99.0409351	19.577533	2007-08-30	TIENDA COPPEL
-99.2631574	19.6490827	2007-11-29	TIENDA COPPEL
-98.9005307	19.2561051	2009-11-26	TIENDA COPPEL
-99.0761588	19.3948045	2008-05-29	TIENDA COPPEL
-99.8222092	16.8999591	2007-12-13	TIENDA COPPEL
-100.948412	25.4429257	2007-09-13	TIENDA COPPEL
-97.5304398	25.858157	2007-07-05	TIENDA COPPEL
-100.4119531	20.560843	2007-12-13	TIENDA COPPEL
-107.3963801	24.8216925	2007-11-22	TIENDA COPPEL
-93.1029939	16.7516009	2007-12-13	TIENDA COPPEL
-116.9026977	32.5382684	2007-09-27	TIENDA COPPEL
-92.5908112	17.756607	2008-02-14	TIENDA COPPEL
-103.27555	20.67133	2007-12-13	TIENDA COPPEL
-103.4011497	20.6041421	2007-12-13	TIENDA COPPEL
-105.8613233	22.9914716	2008-11-06	TIENDA COPPEL
-107.3899441	24.5929916	2008-05-01	TIENDA COPPEL
-106.2107791	23.1892149	2008-08-14	TIENDA COPPEL
-103.380842	19.5565671	2008-08-21	TIENDA COPPEL
-100.1596845	25.7033624	2008-04-17	TIENDA COPPEL
-98.1870857	19.0100937	2008-05-29	TIENDA COPPEL
-97.2450588	19.561726	2008-05-01	TIENDA COPPEL
-92.9491852	17.5537094	2008-05-29	TIENDA COPPEL
-91.9883399	17.5116845	2008-06-26	TIENDA COPPEL
-95.2032857	16.211248	2009-11-26	TIENDA COPPEL
-102.0240728	20.3424036	2013-10-10	TIENDA COPPEL
-89.6256777	20.9972185	2008-12-03	TIENDA COPPEL
-99.1412682	19.4365771	2008-10-01	TIENDA COPPEL
-98.1824655	22.0581474	2008-07-24	TIENDA COPPEL
-97.8155722	25.6753676	2008-06-26	TIENDA COPPEL
-116.8642024	32.4973545	2008-12-01	TIENDA COPPEL
-116.8798522	32.4566417	2008-04-17	TIENDA COPPEL
-98.2290207	19.3182284	2008-09-11	TIENDA COPPEL
-96.138348	19.1901891	2008-05-22	TIENDA COPPEL
-99.5214142	18.3418429	2008-10-17	TIENDA COPPEL
-98.9172906	19.4150743	2008-04-10	TIENDA COPPEL
-98.9041209	19.4320476	2008-05-01	TIENDA COPPEL
-98.8818277	19.5041172	2008-04-24	TIENDA COPPEL
-103.519924	25.5465043	2008-09-25	TIENDA COPPEL
-99.3395047	19.9054627	2008-04-24	TIENDA COPPEL
-99.6451149	19.2634081	2008-08-28	TIENDA COPPEL
-98.8808672	19.2948106	2008-09-18	TIENDA COPPEL
-97.9571762	20.2752036	2010-04-29	TIENDA COPPEL
-96.1222175	18.0830086	2009-04-30	TIENDA COPPEL
-95.0184912	16.4338543	2008-11-01	TIENDA COPPEL
-99.0586132	19.6414723	2008-11-27	TIENDA COPPEL
-97.4203736	20.9508767	2008-10-01	TIENDA COPPEL
-99.5863757	19.3008135	2008-11-01	TIENDA COPPEL
-99.5886467	19.1092662	2008-11-27	TIENDA COPPEL
-99.0185472	19.3478481	2009-07-01	TIENDA COPPEL
-100.1112185	25.6518382	2009-05-21	TIENDA COPPEL
